,model,method,ngram_range,min_df,max_df,max_feature,features_limit,train_acc,test_acc,f1_train,f1_test,gap_percent,comments
62,LinearSVC,countVectorizer,"(1, 2)",1,0.99,5000,5000,0.9821,0.919,0.9816,0.9174,6.42,"ngram=(1, 2), min_df=1, max_df=0.99"
63,LinearSVC,countVectorizer,"(1, 2)",5,0.9,5000,5000,0.9821,0.9212,0.9817,0.9197,6.2,"ngram=(1, 2), min_df=5, max_df=0.9"
64,LinearSVC,countVectorizer,"(1, 2)",5,0.95,5000,5000,0.9821,0.9212,0.9817,0.9197,6.2,"ngram=(1, 2), min_df=5, max_df=0.95"
65,LinearSVC,countVectorizer,"(1, 2)",5,0.99,5000,5000,0.9821,0.9212,0.9817,0.9197,6.2,"ngram=(1, 2), min_df=5, max_df=0.99"
66,LinearSVC,countVectorizer,"(1, 2)",10,0.9,4538,5000,0.9788,0.9203,0.9782,0.919,5.92,"ngram=(1, 2), min_df=10, max_df=0.9"
67,LinearSVC,countVectorizer,"(1, 2)",10,0.95,4538,5000,0.9788,0.9203,0.9782,0.919,5.92,"ngram=(1, 2), min_df=10, max_df=0.95"
68,LinearSVC,countVectorizer,"(1, 2)",10,0.99,4538,5000,0.9788,0.9203,0.9782,0.919,5.92,"ngram=(1, 2), min_df=10, max_df=0.99"
69,LinearSVC,countVectorizer,"(1, 2)",20,0.9,2456,5000,0.9567,0.919,0.9556,0.9176,3.8,"ngram=(1, 2), min_df=20, max_df=0.9"
70,LinearSVC,countVectorizer,"(1, 2)",20,0.95,2456,5000,0.9567,0.919,0.9556,0.9176,3.8,"ngram=(1, 2), min_df=20, max_df=0.95"
71,LinearSVC,countVectorizer,"(1, 2)",20,0.99,2456,5000,0.9567,0.919,0.9556,0.9176,3.8,"ngram=(1, 2), min_df=20, max_df=0.99"
72,LinearSVC,countVectorizer,"(1, 3)",1,0.9,5000,5000,0.9812,0.9187,0.9807,0.9173,6.34,"ngram=(1, 3), min_df=1, max_df=0.9"
73,LinearSVC,countVectorizer,"(1, 3)",1,0.95,5000,5000,0.9812,0.9187,0.9807,0.9173,6.34,"ngram=(1, 3), min_df=1, max_df=0.95"
74,LinearSVC,countVectorizer,"(1, 3)",1,0.99,5000,5000,0.9812,0.9187,0.9807,0.9173,6.34,"ngram=(1, 3), min_df=1, max_df=0.99"
75,LinearSVC,countVectorizer,"(1, 3)",5,0.9,5000,5000,0.981,0.9203,0.9805,0.919,6.16,"ngram=(1, 3), min_df=5, max_df=0.9"
76,LinearSVC,countVectorizer,"(1, 3)",5,0.95,5000,5000,0.981,0.9203,0.9805,0.919,6.16,"ngram=(1, 3), min_df=5, max_df=0.95"
77,LinearSVC,countVectorizer,"(1, 3)",5,0.99,5000,5000,0.981,0.9203,0.9805,0.919,6.16,"ngram=(1, 3), min_df=5, max_df=0.99"
78,LinearSVC,countVectorizer,"(1, 3)",10,0.9,4666,5000,0.979,0.9202,0.9785,0.9188,5.97,"ngram=(1, 3), min_df=10, max_df=0.9"
79,LinearSVC,countVectorizer,"(1, 3)",10,0.95,4666,5000,0.979,0.9202,0.9785,0.9188,5.97,"ngram=(1, 3), min_df=10, max_df=0.95"
