,model,ngram_range,min_df,max_df,features_rec,max_features,test_accuracy,train_f1,test_f1,gap_percent,comments
47,LinearSVC,"(1, 2)",1,0.99,10000,10000,0.9238541514130912,0.9961206734209634,0.9223184941738871,7.38,"ngram=(1, 2), min_df=1, max_df=0.99"
48,LinearSVC,"(1, 2)",10,0.9,4538,10000,0.920339727632157,0.9782102336764595,0.9189994044073854,5.92,"ngram=(1, 2), min_df=10, max_df=0.9"
49,LinearSVC,"(1, 2)",10,0.95,4538,10000,0.920339727632157,0.9782102336764595,0.9189994044073854,5.92,"ngram=(1, 2), min_df=10, max_df=0.95"
50,LinearSVC,"(1, 2)",10,0.99,4538,10000,0.920339727632157,0.9782102336764595,0.9189994044073854,5.92,"ngram=(1, 2), min_df=10, max_df=0.99"
51,LinearSVC,"(1, 2)",20,0.9,2456,10000,0.9190218187143067,0.9556288412531855,0.9176225234619395,3.8,"ngram=(1, 2), min_df=20, max_df=0.9"
52,LinearSVC,"(1, 2)",20,0.95,2456,10000,0.9190218187143067,0.9556288412531855,0.9176225234619395,3.8,"ngram=(1, 2), min_df=20, max_df=0.95"
53,LinearSVC,"(1, 2)",20,0.99,2456,10000,0.9190218187143067,0.9556288412531855,0.9176225234619395,3.8,"ngram=(1, 2), min_df=20, max_df=0.99"
54,LinearSVC,"(1, 3)",1,0.9,10000,10000,0.9232684141162688,0.9958959298166347,0.921556886227545,7.43,"ngram=(1, 3), min_df=1, max_df=0.9"
55,LinearSVC,"(1, 3)",1,0.95,10000,10000,0.9232684141162688,0.9958959298166347,0.921556886227545,7.43,"ngram=(1, 3), min_df=1, max_df=0.95"
56,LinearSVC,"(1, 3)",1,0.99,10000,10000,0.9232684141162688,0.9958959298166347,0.921556886227545,7.43,"ngram=(1, 3), min_df=1, max_df=0.99"
57,LinearSVC,"(1, 3)",10,0.9,4666,10000,0.9201932933079514,0.9784707871501033,0.9188142410248771,5.97,"ngram=(1, 3), min_df=10, max_df=0.9"
58,LinearSVC,"(1, 3)",10,0.95,4666,10000,0.9201932933079514,0.9784707871501033,0.9188142410248771,5.97,"ngram=(1, 3), min_df=10, max_df=0.95"
59,LinearSVC,"(1, 3)",10,0.99,4666,10000,0.9201932933079514,0.9784707871501033,0.9188142410248771,5.97,"ngram=(1, 3), min_df=10, max_df=0.99"
60,LinearSVC,"(1, 3)",20,0.9,2482,10000,0.9182896470932786,0.9555505584289034,0.916865315852205,3.87,"ngram=(1, 3), min_df=20, max_df=0.9"
61,LinearSVC,"(1, 3)",20,0.95,2482,10000,0.9182896470932786,0.9555505584289034,0.916865315852205,3.87,"ngram=(1, 3), min_df=20, max_df=0.95"
62,LinearSVC,"(1, 3)",20,0.99,2482,10000,0.9182896470932786,0.9555505584289034,0.916865315852205,3.87,"ngram=(1, 3), min_df=20, max_df=0.99"
63,LinearSVC,"(2, 2)",1,0.9,10000,10000,0.8324791331088007,0.9325109115175125,0.840134153158189,9.24,"ngram=(2, 2), min_df=1, max_df=0.9"
64,LinearSVC,"(2, 2)",1,0.95,10000,10000,0.8324791331088007,0.9325109115175125,0.840134153158189,9.24,"ngram=(2, 2), min_df=1, max_df=0.95"
65,LinearSVC,"(2, 2)",1,0.99,10000,10000,0.8324791331088007,0.9325109115175125,0.840134153158189,9.24,"ngram=(2, 2), min_df=1, max_df=0.99"
66,LinearSVC,"(2, 2)",10,0.9,1353,10000,0.7598477083028262,0.8092319728778198,0.7896896640164145,1.95,"ngram=(2, 2), min_df=10, max_df=0.9"
67,LinearSVC,"(2, 2)",10,0.95,1353,10000,0.7598477083028262,0.8092319728778198,0.7896896640164145,1.95,"ngram=(2, 2), min_df=10, max_df=0.95"
68,LinearSVC,"(2, 2)",10,0.99,1353,10000,0.7598477083028262,0.8092319728778198,0.7896896640164145,1.95,"ngram=(2, 2), min_df=10, max_df=0.99"
69,LinearSVC,"(2, 2)",20,0.9,469,10000,0.6911700102504027,0.7556273034631903,0.7456277891689784,1.0,"ngram=(2, 2), min_df=20, max_df=0.9"
70,LinearSVC,"(2, 2)",20,0.95,469,10000,0.6911700102504027,0.7556273034631903,0.7456277891689784,1.0,"ngram=(2, 2), min_df=20, max_df=0.95"
